Log: File reading events...
subnet +++
id:	
x:	
y:	
label:	
place:	  id:1  x:191  y:-209  label:Health  tokens:30  isStatic:false
place:	  id:2  x:-149  y:24  label:Fuel  tokens:100  isStatic:false
place:	  id:3  x:-20  y:-220  label:Ammo  tokens:30  isStatic:false
place:	  id:4  x:38  y:-147  label:Attack  tokens:0  isStatic:false
place:	  id:5  x:316  y:27  label:Defend  tokens:0  isStatic:false
place:	  id:6  x:-100  y:151  label:Rescue  tokens:0  isStatic:false
place:	  id:13  x:-100  y:285  label:Quadrant:Soldier  tokens:0  isStatic:false
place:	  id:14  x:129  y:288  label:Quadrant:Portal  tokens:0  isStatic:false
place:	  id:15  x:16  y:-393  label:Quadrant:ReloadAmmo  tokens:0  isStatic:false
place:	  id:16  x:-188  y:-178  label:Quadrant:RefillFuel  tokens:0  isStatic:false
place:	  id:17  x:-387  y:281  label:Quadrant:Collision  tokens:0  isStatic:false
place:	  id:18  x:87  y:-244  label:RobotInNeighbourhood  tokens:0  isStatic:false
place:	  id:19  x:205  y:205  label:End  tokens:0  isStatic:false
place:	  id:21  x:125  y:108  label:RescuedSoldiers  tokens:0  isStatic:false
place:	  id:32  x:-20  y:-90  label:AttackButton  tokens:0  isStatic:false
place:	  id:33  x:191  y:-80  label:GotShot  tokens:0  isStatic:false
place:	  id:35  x:114  y:-48  label:DefendButton  tokens:0  isStatic:false
place:	  id:39  x:-752  y:32  label:West  tokens:0  isStatic:false
place:	  id:41  x:-561  y:276  label:South  tokens:0  isStatic:false
place:	  id:44  x:-569  y:-239  label:North  tokens:0  isStatic:false
place:	  id:36  x:-344  y:26  label:East  tokens:0  isStatic:false
place:	  id:55  x:397  y:-210  label:Dead  tokens:0  isStatic:false
place:	  id:56  x:316  y:93  label:ReloadShield  tokens:0  isStatic:false
place:	  id:60  x:421  y:-49  label:ShieldHasOver  tokens:0  isStatic:false
place:	  id:62  x:392  y:159  label:ShieldHasReload  tokens:0  isStatic:false
place:	  id:74  x:-662  y:275  label:MoveSouth  tokens:0  isStatic:false
place:	  id:71  x:-349  y:-57  label:MoveEast  tokens:0  isStatic:false
